xcar,vcar,acar,ttccar,xped,vped,aped,ttcped,roadtype,belief
8.177817131,3.22344,-2.09772,2.536984442,6.367931456,0.93232,-0.22488,6.830199348,1,1
7.570752443,2.71294,-2.51567,2.790608139,6.184975503,0.88013,-0.16316,7.027343124,1,1
7.084564581,2.13288,-2.63613,3.321595486,6.012003103,0.84183,-0.05168,7.141588091,1,1
6.724750336,1.56761,-2.47615,4.289810818,5.844201564,0.82902,0.11574,7.049530245,1,1
6.471471673,1.07171,-2.13557,6.038454128,5.677427846,0.85332,0.34653,6.653339716,1,0.857142857
6.305336501,0.66854,-1.71008,9.43150223,5.509142939,0.94041,0.62326,5.858235173,1,0.428571429
6.207286687,0.36139,-1.26078,17.17614402,5.316938193,1.10374,0.87202,4.81720169,1,0.285714286
6.160412069,0.14903,-0.81957,41.33672461,5.079800358,1.32424,1.01593,3.836011869,1,0.142857143
6.151527656,0.1,-0.42858,61.51527656,4.790346217,1.56403,1.02529,3.062822463,1,0.071428571
6.145005659,0.1,-0.18314,61.45005659,4.452103587,1.79401,0.90247,2.481649259,1,0.071428571
6.132609523,0.1,-0.08376,61.32609523,4.067338306,1.97992,0.67,2.054294268,1,0
6.129049577,0.1,-0.04431,61.29049577,3.648861979,2.0994,0.37724,1.738049909,1,0
6.124597366,0.1,-0.01955,61.24597366,3.213425955,2.14106,0.09175,1.500857498,1,0
6.119612072,0.1,0.0011,61.19612072,2.781372063,2.11852,-0.12262,1.312884496,1,0
6.112366537,0.1,0.00831,61.12366537,2.364630389,2.05823,-0.23495,1.148865962,1,0
6.108527322,0.1,0.00352,61.08527322,1.963007651,1.99064,-0.26008,0.986118862,1,0
6.095611271,0.1,0.00203,60.95611271,1.57553458,1.92974,-0.22609,0.816449149,1,0
6.08895853,0.1,-0.00186,60.8895853,1.197207856,1.8876,-0.16865,0.634248705,1,0
6.084515228,0.1,-0.00177,60.84515228,0.822475241,1.85717,-0.10655,0.442864811,1,0
6.075023842,0.1,-0.01729,60.75023842,0.456048942,1.84449,-0.04647,0.247249344,1,0
6.065895509,0.1,-0.022,60.65895509,0.086645881,1.84393,-0.00671,0.046989788,1,0
32.28072538,7.14409,0.5696,4.518521656,5.934053704,1.22089,-0.05822,4.86043272,1,0.928571429
30.83256696,7.29363,0.4783,4.227328088,5.687131437,1.19889,-0.10791,4.743664087,1,0.928571429
29.3557465,7.39228,0.23456,3.971135631,5.450458826,1.16684,-0.13141,4.671127855,1,0.857142857
27.87280878,7.42836,-0.09368,3.752215668,5.221928987,1.13738,-0.13853,4.591191147,1,0.928571429
26.38999789,7.39492,-0.50115,3.568665772,4.998440385,1.10958,-0.14639,4.504803966,1,0.857142857
24.91614417,7.26775,-0.98686,3.428316077,4.78328014,1.08556,-0.1696,4.406278916,1,0.857142857
23.47571226,7.02465,-1.48974,3.3419049,4.565157401,1.0559,-0.23067,4.323475141,1,0.857142857
22.09682781,6.66935,-1.92552,3.313190612,4.353607411,0.99962,-0.29836,4.35526241,1,0.857142857
20.80576792,6.23005,-2.23002,3.339582815,4.158312922,0.92689,-0.33324,4.486306813,1,0.785714286
19.60803691,5.74216,-2.40079,3.414749313,3.975294258,0.84409,-0.31332,4.709562082,1,0.857142857
18.51336944,5.23466,-2.44917,3.536689954,3.81352142,0.76794,-0.20973,4.965910644,1,0.857142857
17.5226083,4.73614,-2.41409,3.699765696,3.66850638,0.72941,-0.03725,5.029416076,1,0.785714286
16.62350078,4.25342,-2.34583,3.908266943,3.526204809,0.74008,0.15233,4.764626539,1,0.571428571
15.81900991,3.78439,-2.24701,4.180068627,3.377355359,0.79515,0.31886,4.24744433,1,0.285714286
15.10956278,3.33993,-2.11367,4.523916005,3.213445122,0.88934,0.42474,3.613292016,1,0.285714286
14.48285196,2.92738,-1.96752,4.947376821,3.023413704,1.00017,0.4402,3.022899811,1,0.214285714
13.93167353,2.53774,-1.79877,5.489795458,2.807951176,1.09798,0.38037,2.557379165,1,0.214285714
13.46150842,2.18248,-1.56969,6.16798707,2.577289796,1.17224,0.28401,2.198602501,1,0.071428571
13.06025434,1.88677,-1.29894,6.922017174,2.331422504,1.21728,0.18027,1.915272167,1,0
12.7072905,1.64831,-1.0222,7.709284355,2.084195691,1.23562,0.109,1.686761052,1,0
12.39867407,1.46733,-0.7452,8.44981979,1.837912094,1.24677,0.07591,1.47413885,1,0
12.1230251,1.34829,-0.49087,8.991407706,1.586736478,1.2537,0.06886,1.26564288,1,0
11.86138785,1.28151,-0.30114,9.255790318,1.338063917,1.26353,0.08731,1.058988641,1,0
11.60739216,1.24391,-0.17975,9.331376195,1.087155234,1.28649,0.10561,0.845055332,1,0
11.36135348,1.22326,-0.10728,9.28776669,0.823116968,1.3102,0.10233,0.628237649,1,0
11.11584829,1.21259,-0.07947,9.167029494,0.556033155,1.32859,0.09516,0.418513729,1,0
10.87040159,1.19849,-0.0769,9.070081179,0.280282476,1.34319,0.09286,0.20866927,1,0
10.62968379,1.17744,-0.06027,9.027792322,0.013117714,1.35809,0.1148,0.009658943,1,0
11.26902302,3.8112,-2.07223,2.956817542,8.038420294,1.44899,-0.00025,5.547602326,1,1
10.55059748,3.38611,-2.11753,3.115846053,7.746424826,1.44722,-0.05735,5.352624221,1,1
